work_id,title,rating,category,relationship,character,freeform
51248023,Halloween Pranks,General Audiences,"F/F, Gen, M/M","Sirius Black & James Potter, Regulus Black/James Potter, Sirius Black/Remus Lupin, Marlene McKinnon/Dorcas Meadowes, Pandora Lovegood/Lily Evans Potter","Sirius Black, James Potter, Regulus Black, Remus Lupin, Dorcas Meadowes, Marlene McKinnon, Lily Evans Potter, Pandora Lovegood, Barty Crouch Jr., Evan Rosier","Tumblr Prompt, Marauderstober, Pranks and Practical Jokes, POV James Potter, Sirius Black & James Potter Friendship"
51247765,Moments,Teen And Up Audiences,F/M,Hermione Granger/Harry Potter,"Harry Potter, Hermione Granger",
51247384,The Lion and the Cobra,Teen And Up Audiences,F/M,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy","Harry Potter Epilogue What Epilogue | EWE, Established Relationship, Hair Loss, Hermione Granger is Bad at Feelings"
51246697,A Captured Moment,Explicit,F/M,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy","Alternate Universe, Werewolf Draco Malfoy, Werewolf Mates, Knotting, Plot What Plot/Porn Without Plot, Dubious Consent, Somnophilia, Explicit Sexual Content, thigh riding, Pheromones, Captive Hermione Granger, Mating Bond, Breeding, Cunnilingus, Multiple Orgasms, NSFW Art, no beta we die like men, POV Draco Malfoy, POV Hermione Granger"
51243280,Inktober Day 30- The Veil,Not Rated,,,Draco Malfoy,"Inktober, Inktober 2023, boshhptober2023 | basiatlu's A Very Harry Drawtober 2023, Fanart, Drarry, maybe? - Freeform"
51242758,With Teeth,Teen And Up Audiences,Gen,Hermione Granger/Lucius Malfoy,"Minerva McGonagall, Irma Pince",
51242461,Three Hundred Takeout Coffees Later,Mature,M/M,Sirius Black/Remus Lupin,"Sirius Black, Remus Lupin, James Potter, Hope Lupin","Alternate Universe - Coffee Shops & Cafes, Alternate Universe - Non-Magical, Fluff, wolfstar, lots of fluff, my take on a coffee shop au, Some hurt/comfort, But mostly fluff, Remus loves Sirius, Remus comforts Sirius, Disabled Remus Lupin, Background Jily, Like way in the background, Happy Ending, these boys deserve all the good things, sirius healing, remus healing"
51242404,Hungry Eyes,Explicit,F/M,Hermione Granger/Ron Weasley,"Hermione Granger, Ron Weasley, Harry Potter","Female Ron Weasley, Male Hermione Granger, Smut, Tent Sex, Accidental Voyeurism, Voyeurism, Masturbation, Blow Jobs, First Time Blow Jobs, Vaginal Fingering, Vaginal Sex, Nipple Licking, Horcrux Hunting, Fantasizing, First Time, Oral Sex, Non-Consensual Voyeurism, to, Consensual Sex"
51242389,Sealed with a Kiss,Teen And Up Audiences,F/M,Hermione Granger/Harry Potter,"Harry Potter, Hermione Granger, Teddy Lupin","Fluff, Domestic Fluff, Mutual Pining, Healer Harry Potter"
51241894,Fearless,General Audiences,F/F,Pandora Lovegood/Lily Evans Potter,"Pandora Lovegood, Lily Evans Potter, Lily Evans, Regulus Black, Barty Crouch Jr., Evan Rosier, Remus Lupin","Based on a Taylor Swift Song, Title from a Taylor Swift Song, Inspired by Taylor Swift, Album: Fearless (Taylor Swift), Song: Fearless (Taylor Swift), Dancing in the Rain, Fashion Designers, Seamstress Pandora Lovegood, Alternate Universe - High School, Shy, Shyness, Selective Mutism, Pandora is the quiet kid, she is so special to me, so is that headcanon, it's the best one fight me, bonding over clothes, LGBTQ Themes, Lesbian Character, Love, Fluff, Light Angst, very light, Emotional Pandora, Comfort"
51241603,Double Your Veelas,General Audiences,Multi,"Hermione Granger/Draco Malfoy/Theodore Nott, Hermione Granger/Theodore Nott, Hermione Granger/Draco Malfoy, Draco Malfoy/Theodore Nott","Draco Malfoy, Hermione Granger, Theodore Nott","Alternate Universe, Enemies to Lovers, Marriage Proposal, Threesome, Threesome - F/M/M, Triad - Freeform, Veela Draco Malfoy, Veela Mates, Veela Theodore Nott"
51241516,Good Boy,Explicit,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","Alternate Universe - Canon Divergence, Harry Potter Epilogue What Epilogue | EWE, Severus Snape Lives, Bottom Severus Snape, Sub Severus Snape, Top Hermione Granger, Dom Hermione Granger, Aftercare, POV Severus Snape, Masturbation, Hand Jobs, mentions of pegging, Emotional Sex, Praise Kink, Kink Discovery"
51240817,Taming of the Menace,Explicit,M/M,Sirius Black/Remus Lupin,"Sirius Black, Remus Lupin","HP Kinktober 2023, Power Imbalance, Daddy Kink, Cock Cages, Chastity Device, Orgasm Delay, Age Difference, Light Dom/sub, Aftercare, Sirius Black is a Little Shit, Dom Sirius Black, Rimming, Anal Fingering, Anal Sex, Blow Jobs"
51239908,"I Miss You, I'm Sorry",Teen And Up Audiences,M/M,"Sirius Black/Remus Lupin, mentioned, Bellatrix Black Lestrange & Narcissa Black Malfoy & Andromeda Black Tonks, Sirius Black & Remus Lupin & Peter Pettigrew & James Potter, Regulus Black & Sirius Black","Sirius Black, James Potter, Peter Pettigrew, Remus Lupin, Lily Evans Potter, Bellatrix Black Lestrange, Mary Macdonald (Harry Potter), Marlene McKinnon","Angst, Hurt No Comfort, i think yeah it is, but not like too much yk, dead lily and james potter, Pining Sirius Black, Pre-Harry Potter and the Prisoner of Azkaban, Sirius Black Escapes from Azkaban, Kind Of, it stops like right before he does, One Shot, Short One Shot, Canon Compliant, mostly I think, I didn't really fact check, or edit, How Do I Tag, title from Gracie Abrams song, No beta we die like Sirius' ability to remember happy things"
51239812,Bloody Kisses,Mature,M/M,Harry Potter/Tom Riddle,"Harry Potter, Tom Riddle, Kingsley Shacklebolt","Alternate Universe - No Voldemort, Vampires, Vampire Tom Riddle, Professor Tom Riddle, Auror Harry Potter"
51239194,31 October 1981,Teen And Up Audiences,Gen,,"Tom Riddle | Voldemort, Peter Pettigrew, Lily Evans Potter, Merope Gaunt","Voldemort's Halloween 1981 Attack on the Potter Family (Harry Potter), Halloween 1981 is it's own warning"
51235987,Stargazing and Fireworks,General Audiences,M/M,"Scorpius Malfoy/Albus Severus Potter, Albus Severus Potter & James Sirius Potter","Albus Severus Potter, Scorpius Malfoy, Delphi (Harry Potter), James Sirius Potter, Lily Luna Potter, Harry Potter","Post-Harry Potter and the Cursed Child, Harry Potter Next Generation, Minor Scorpius Malfoy/Albus Severus Potter, Scorpius Malfoy/Albus Severus Potter Fluff, Pining Albus Severus Potter, Scorpius Malfoy & Albus Severus Potter Friendship, Pining Scorpius Malfoy, Gryffindor & Slytherin Inter-House Friendships, James Sirius Potter Needs a Hug, Quidditch Player Scorpius Malfoy, Quidditch, Misunderstood Delphi Riddle, Idiots in Love, Friends to Lovers"
51235975,distrust,General Audiences,M/M,"James Potter/Severus Snape, James Potter & Severus Snape","James Potter, Severus Snape, Harry Potter","Alternate Universe - No Voldemort, Family, Drama & Romance, Adoption, Severus Snape Adopts Harry Potter"
51235825,Missing,General Audiences,Gen,"Lucy Weasley & Molly Weasley II & Percy Weasley, Molly Weasley II & Percy Weasley","Percy Weasley, Molly Weasley II, Lucy Weasley","Anxiety, Accidental Magic (Harry Potter), Percy Weasley-centric, Protective Percy Weasley, Worried Percy Weasley, Podfic Welcome"
51235777,Many Happy Returns,Explicit,"F/F, F/M","Hermione Granger/Harry Potter, Hermione Granger/Ginny Weasley, Harry Potter/Ginny Weasley, Hermione Granger/Harry Potter/Ginny Weasley","Hermione Granger, Harry Potter, Ginny Weasley","HP Kinktober 2023, Kinktober, Polyamory, Threesome, Porn with Feelings, The battle between Hermione's judgmental side and open-mindedness, Hermione girl you deserve love!, the real golden trio"
51235465,Paint The Town Pink,Not Rated,,,"Euphemia Potter, Lucretia Black Prewett, Dorea Black Potter, Fleamont Potter","Art as a Coping Mechanism, Letter Bombs, Public Humiliation, do not mess with the Blacks, Implied/Referenced Cheating, Infidelity, Implied Miscarriage, Angry Women, Revenge, operation cinderella"
51234577,Halloween Party,Explicit,F/F,Hermione Granger/Narcissa Black Malfoy,"Narcissa Black Malfoy, Hermione Granger, Bellatrix Black Lestrange, Andromeda Black Tonks, Nymphadora Tonks","Halloween Costumes, Fluff, Alternate Universe, Out of Character, Dirty Talk, Smut"
51234520,Operation Wolfstar,Teen And Up Audiences,M/M,Sirius Black/Remus Lupin,"Sirius Black, Remus Lupin, James Potter, Lily Evans, Peter Pettigrew","Pining, Mutual Pining, wolfstar, Letters, References to Oscar Wilde, homosexual disasters, Remus Lupin & Lily Evans Potter Friendship, Marauders Friendship (Harry Potter), Secret Relationship, Kind Of, Fluff, halloween sucks for marauders fans so have fluff from me, Jily if you squint"
51233575,Independent Study,Teen And Up Audiences,M/M,Sirius Black/Remus Lupin,"Sirius Black, Remus Lupin","5+1 Things, Hogwarts Era, Getting Together, Trick or Treat: Treat, Holidays"
51232588,She Said,Mature,F/M,"Hermione Granger/Severus Snape, Hermione Granger/Ron Weasley","Hermione Granger, Severus Snape, Ron Weasley","Ron Bashing, Abusive Relationship, Physical Abuse, Miscarriage, pay phone"
51231739,The One Where Hermione Likes Halloween,Teen And Up Audiences,F/M,Hermione Granger/Draco Malfoy,"Hermione Granger, Draco Malfoy, Pansy Parkinson, Theodore Nott","First Kiss, Halloween Ball, Greek gods, Slytherin Hermione Granger, Age Appropriate Sexual Feelings, Trick or Treat Fest"
51231634,In Common,Teen And Up Audiences,F/F,Narcissa Black Malfoy/Dorcas Meadowes,"Narcissa Black Malfoy, Dorcas Meadowes","wlw, Fluff, sticking charm, Bullying, putting bullies in their place"
51231100,Rising back to the surface,General Audiences,M/M,Draco Malfoy/Harry Potter,"Harry Potter, Draco Malfoy","Fluff, Domestic Fluff, Soup, shower, Depression, Harry Needs a Hug, Draco is so cute, we love drarry"
51230254,my lover's the sunlight,Mature,F/F,"Pandora Lovegood/Dorcas Meadowes, past Pandora Lovegood/Lily Evans Potter - Relationship, Mentioned Barty Crouch Jr./Evan Rosier - Relationship","Pandora Lovegood, Dorcas Meadowes","Friends to Lovers, Childhood Friends, Religious Guilt, Religious Imagery & Symbolism, Homophobia, Internalized Homophobia, Hurt/Comfort, Angst, Pandora Lovegood and Evan Rosier are Siblings, Pandora Lovegood is a Rosier, Catholic Raised Pandora, Angst with a Happy Ending, Mild Sexual Content"
51230020,Together - Aren't We?,Teen And Up Audiences,F/M,Hermione Granger/Charlie Weasley,"Hermione Granger, Charlie Weasley, George Weasley, Fred Weasley, Harry Potter, Ron Weasley, Ginny Weasley","Potions Accident, Fake Relationship, Confusion"
51229435,In Moments of Weakness,Teen And Up Audiences,Multi,"Remus Lupin/Severus Snape, Minerva McGonagall/Poppy Pomfrey","Severus Snape, Remus Lupin, Harry Potter, Albus Dumbledore, Minerva McGonagall","Alternate Universe - Canon Divergence, Non-Sexual Age Play, Age Play Little Severus Snape, Caregiver Remus Lupin, Diapers, Accidents, Age Regression/De-Aging, Severus Snape Needs a Hug, Manipulative Albus Dumbledore, Protective Remus Lupin, Emotional Hurt/Comfort, Crying, Situational Humiliation, Protective Minerva McGonagall, Sad with a Happy Ending"
51227695,"The Whiskey, The Liar, The Thief",General Audiences,M/M,Sirius Black/Remus Lupin,"Sirius Black, Regulus Black, Remus Lupin, Mary Macdonald (Harry Potter)","Mary and a couple others get vauge half mentions but like barely, this is a sirius and remus fic thanks, The Whiskey, The Liar, the Thief - Freeform, Song Lyrics, song fic (im sorry), okay but this song slaps hard and i do not know how to explain that one, this is beta read in the same way that you can technically call bread uncooked toast, like... I GUESS but like no, also that was only true for like the first few sections because ill be fucked if i wait, Alternate Universe, dunno what id call this universe but it aint magic, I go feral for Regulus and Sirius so i have to sneak it in literally everywhere, i just heard 'she bats her eyes and lies about her ring' and thought Sirius, kinda ambiguous ending, like its happy but also really vauge, I've marked this general, he says shit a couple times but lets be real thats tame, Song: The whiskey the liar the thief by patent pending, I'm too pretty to know how this interface works"
51226183,"""i wish you were a girl""",Teen And Up Audiences,M/M,"Sirius Black/Remus Lupin, Sirius Black & James Potter, Remus Lupin & Lily Evans Potter","James Potter, Lily Evans, Lily Evans Potter, Remus Lupin, Sirius Black, Regulus Black, Peter Pettigrew, Mary Macdonald (Harry Potter), Marlene McKinnon, Dorcas Meadowes, Evan Rosier, Pandora Lovegood, Barty Crouch Jr.","Please give Lily her own name, Internalized Homophobia, Gay Sirius Black, Gay Remus Lupin, Sirius Black Needs a Hug, I'm Bad At Tagging, I Made Myself Cry, I Will Go Down With This Ship, Why am I tagging characters who aren't in this?, it doesn't matter, James Potter is a sweetheart"
51225619,Sand,General Audiences,F/M,Luna Lovegood/Severus Snape,Severus Snape,"sand art, tranquility garden, Circles - Freeform"
51225502,Nifflers and Fever,General Audiences,F/M,"Tina Goldstein/Newt Scamander, Queenie Goldstein/Jacob Kowalski, Albus Dumbledore & Newt Scamander","Newt Scamander, Newt Scamander's Niffler, Tina Goldstein, Jacob Kowalski, Albus Dumbledore, Pickett the Bowtruckle (Fantastic Beasts), Newt Scamander's Magical Beasts","Sickfic, Crack, Post-Movie 1: Fantastic Beasts and Where to Find Them, Jacob Kowalski is a Good Friend, Oblivious Newt Scamander, Magical Creatures, Newt Scamander is Bad at Taking Care of Himself"
51225433,"Happy Birthday, Severus",General Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape","Fluff, Hermione Can't Cook, Birthday"
51225226,The hidden parts of you,Teen And Up Audiences,"M/M, Multi","Barty Crouch Jr./Evan Rosier, Regulus Black/Barty Crouch Jr./Evan Rosier, Regulus Black & Pandora Lovegood","Regulus Black, Evan Rosier, Barty Crouch Jr., Bartemius ""Barty"" Crouch Sr., Pandora Lovegood","Polyamory, Hurt/Comfort, Implied/Referenced Child Abuse, Panic Attacks, Crucio | Cruciatus Curse (Harry Potter), Imperio | Imperius Curse (Harry Potter), Seizures"
51225202,From the Battle,Teen And Up Audiences,F/M,Hermione Granger/Severus Snape,"Hermione Granger, Severus Snape",Battle of Hogwarts
51225151,On Her Knees,Teen And Up Audiences,F/F,Narcissa Black Malfoy/Ginny Weasley,"Narcissa Black Malfoy, Ginny Weasley","wlw, power, Kneeling, knees, beg"
